category,scope,status,failure_type,count_last_24h,affected_agents,access_or_token_issue,requested_input,evidence
paperclip_stability,heartbeat,failed,"process_lost: server may have restarted",63,"blueprint-chief-of-staff (50); Intake Agent (9); Analytics Agent (4)",no,,"Paperclip DB query on heartbeat_runs for last 24h; launchd/server stderr shows embedded Postgres startup trouble and stale/empty postmaster.pid"
paperclip_stability,heartbeat,failed,"process_lost: child pid no longer running",5,"Intake Agent (2); Blueprint CTO (2); Capture Claude (1)",no,,"Paperclip DB query on heartbeat_runs for last 24h"
paperclip_stability,maintenance,degraded,"bootstrap/reconcile health-check port mismatch",null,"maintenance loop and Paperclip bootstrap scripts",no,,"bootstrap defaults to 3100 while reconcile/verify/smoke default to 3101; maintenance stderr also shows repeated empty-JSON parse failures against wrong local API targets"
routine_idempotency,routine_run,failed,"duplicate key on issues_open_routine_execution_uq",355,"Capture Codex / Capture Autonomy Loop (182); Pipeline Codex / Pipeline Autonomy Loop (173)",no,,"Paperclip DB query on routine_runs for last 24h"
connector_auth,connector_state,degraded,"GitHub connector failed in runtime session",2,"Observed in Capture Claude and Intake Agent runs; role impact also includes beta-launch-commander, blueprint-cto, docs-agent, and repo agents when they need GitHub/CI context",yes,"Re-auth GitHub connector for Claude runtime; also confirm BLUEPRINT_PAPERCLIP_GITHUB_TOKEN and BLUEPRINT_PAPERCLIP_GITHUB_WEBHOOK_SECRET are present in the Paperclip env and plugin secrets","Run transcript excerpts show plugin:github:github status failed"
connector_auth,connector_state,degraded,"Google Calendar connector needs auth",2,"Observed in Capture Claude and Intake Agent run transcripts; direct functional impact is field-ops-agent",yes,"Re-auth Google Calendar connector for Claude runtime","Run transcript excerpts show claude.ai Google Calendar status needs-auth"
connector_auth,connector_state,ok,"Firestore/Firebase access",0,"No missing-access failures observed in this window",no,,"Run transcript excerpts show plugin:firebase:firebase connected"
fallback_model_routing,heartbeat,failed,"OpenCode fallback misconfigured: adapterConfig.model must be provider/model",1,"Intake Agent",no,,"Failed heartbeat with adapter_failed"
fallback_model_routing,heartbeat,failed,"Claude adapter internal 500",1,"Intake Agent",no,,"Failed heartbeat with adapter_failed"
fallback_model_routing,heartbeat,failed,"Claude usage limit reached",1,"Capture Claude",no,,"Failed heartbeat with adapter_failed"
fallback_model_routing,heartbeat,succeeded_with_degradation,"unsupported model sent to openai-codex fallback",12,"Intake Agent (9); Capture Claude (1); Pipeline Claude (1); WebApp Claude (1)",no,,"Succeeded heartbeat transcripts show claude-sonnet-4-6 sent to openai-codex/ChatGPT account fallback"
fallback_model_routing,heartbeat,succeeded_with_degradation,"openai-codex usage limit reached during fallback",94,"blueprint-chief-of-staff (92); Ops Lead (1); WebApp Codex (1)",no,,"Succeeded heartbeat transcripts show HTTP 429 usage_limit_reached"
fallback_model_routing,heartbeat,succeeded_with_degradation,"localhost curl/python guardrail denial blocked queue reads",6,"blueprint-chief-of-staff (4); Analytics Agent (1); Market Intel Agent (1)",no,,"Succeeded heartbeat transcripts show User denied on curl|python localhost Paperclip API commands"
